CVE-2022-21664
""
""
""
""
""
""
""
""
CVE-2023-5561
""
""
CVE-2024-32111
CVE-2020-8203
CVE-2023-39999
CVE-2022-43497
CVE-2021-39200
""
""
""
CVE-2022-21661
CVE-2022-4973
CVE-2022-21663
CVE-2021-39201
""
""
CVE-2022-21662
CVE-2021-20083
""
CVE-2022-43504
CVE-2023-2745
CVE-2022-43504
""
""
""
CVE-2023-47777
CVE-2025-26762
CVE-2024-39666
""
CVE-2024-9944
CVE-2023-52222
CVE-2024-35777
""
CVE-2024-22155
CVE-2021-24891
CVE-2024-0506
CVE-2024-24934
CVE-2024-54444
CVE-2023-33922
CVE-2023-48777
CVE-2024-13445
CVE-2024-6757
CVE-2023-0329
CVE-2024-5416
CVE-2022-4953
CVE-2024-8236
CVE-2023-47505
""
CVE-2024-4619
CVE-2023-47504
CVE-2024-2117
CVE-2024-37437
CVE-2024-10453
CVE-2022-29455
CVE-2023-49828
CVE-2023-35916
CVE-2023-28121
CVE-2023-51503
CVE-2023-35915
